0,0.861571,1.245853,0.298006,4.296875
1,0.889839,1.188491,0.286341,8.609375
2,0.904428,1.148051,0.314649,12.968750
3,0.915261,1.118988,0.337206,17.296875
4,0.923285,1.113830,0.354950,21.593750
5,0.927581,1.090393,0.358245,25.906250
6,0.929467,1.072941,0.373811,30.375000
7,0.929527,1.066015,0.386069,35.625000
8,0.930323,1.062952,0.391102,40.343750
9,0.930407,1.059616,0.393360,45.328125
10,0.930082,1.058601,0.395841,49.656250
11,0.929644,1.063800,0.396600,53.906250
12,0.929583,1.058781,0.392733,58.218750
13,0.929427,1.058859,0.396465,62.656250
14,0.929355,1.058131,0.396407,66.906250
15,0.929337,1.061709,0.396952,71.234375
16,0.929302,1.060870,0.394282,75.500000
17,0.929446,1.056478,0.394905,79.750000
18,0.929628,1.062999,0.398196,84.093750
19,0.929786,1.063437,0.393325,88.390625
20,0.929839,1.065038,0.393002,92.671875
21,0.929945,1.063127,0.391820,96.890625
22,0.930131,1.061642,0.393231,101.156250
23,0.930197,1.056750,0.394331,105.359375
24,0.930230,1.066706,0.397991,109.593750
25,0.930294,1.066986,0.390596,113.843750
26,0.930373,1.059304,0.390391,118.046875
27,0.930515,1.056920,0.396074,122.281250
28,0.930585,1.057492,0.397863,126.484375
29,0.930705,1.056661,0.397432,130.687500
0.498848,0.003178,-0.922341
-0.002596,0.496752,-0.077557
0.000012,-0.000011,0.999983
130.687500
